,AbnormalExtFormActionR,AbnormalFormAction,AgeDomain,AtSymbol,DomainInSubdomains,DoubleSlashInPath,EmbeddedBrandName,ExtFavicon,ExtMetaScriptLinkRT,FakeLinkInStatusBar,FrequentDomainNameMismatch,HostnameLength,HttpsInPath,IframeOrFrame,ImagesOnlyInForm,IpAddress,Malicious,MissingTitle,NoHttps,NumAmpersand,NumDash,NumDashInHost,NumDots,NumHash,NumNumericChars,NumPercent,NumQueryComponents,NumSensitiveWords,NumUnderscore,PathLength,PathLevel,PctExtHyperlinks,PctExtNullSelfRedirectHyperlinksRT,PctExtResourceUrls,PctExtResourceUrlsRT,PctNullSelfRedirectHyperlinks,PopUpWindow,QueryLength,RelativeFormAction,RightClickDisabled,SubdomainLevel,SubdomainLevelRT,SubmitInfoToEmail,TildeSymbol,URL,UrlLength,UrlLengthRT,rank_country,rank_host,src_escape_cnt,src_eval_cnt,src_exec_cnt,src_search_cnt
0,1,0,0,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,9,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,15,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=408589291,78,-1,1,1,0,0,0,0
1,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,10,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,16,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=7287368862,79,-1,1,1,0,0,0,0
2,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,9,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,15,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=403890091,78,-1,1,1,0,0,0,0
3,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,7,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,13,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=4336464,76,-1,1,1,0,0,0,0
4,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,9,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,15,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=420080451,78,-1,1,1,0,0,0,0
5,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,9,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,15,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=282041561,78,-1,1,1,0,0,0,0
6,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,9,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,15,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=314122561,78,-1,1,1,0,0,0,0
7,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,7,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,13,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=5844359,76,-1,1,1,0,0,0,0
8,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,9,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,15,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=293536261,78,-1,1,1,0,0,0,0
9,1,0,1,0,0,0,1,1,1,0,1,14,0,1,0,1,0,0.0,1,0,0,0,2,0,9,0,1,0,0,40,4,1.0,1.0,1.0,1,1.0,-1,15,0,-1,0,-1,1,0,classmates.com/directory/public/memberprofile/list.htm?regId=584388741,78,-1,1,1,0,0,0,0
